text_curat,label,Real,Prezis,Real_Text,Prezis_Text
your gif game is strong,0,0,2,negative,positive
need help never got tickets conf ggqzqd,1,1,0,neutral,negative
some rd party service known as ezee flights a man who confirmed he was born in india told me his name was steve wilson,1,1,0,neutral,negative
yes ill be sending an email to customer service today,1,1,0,neutral,negative
you dont remember our date monday night back to nyc heartbroken,2,2,0,positive,negative
looks like their inflatable car seats got left on the plane so i guess theyll be back sometime savethoseseats,0,0,1,negative,neutral
can i bring a copy or photo of my babys birth certificate for the flight i feel uncomfortable traveling with the real thing,1,1,0,neutral,negative
lt lt rt   sorry to hear about the wifi connection dani please dm us your conf  so we can help you thanks,0,0,2,negative,positive
narrowly made standbylots of snags this trip,0,0,1,negative,neutral
i filled in the form on the website too darn it all i guess ill just have to cross my fingers,0,0,1,negative,neutral
how do i see your report team,0,0,1,negative,neutral
the dinner and called me hon not the service i would expect from st class  disappointed,1,1,0,neutral,negative
landed at phoenix but we had to board a flight quickly to vegas so no time at the airport what now,1,1,0,neutral,negative
having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,1,1,0,neutral,negative
i did hear a last call for boarding of this flight when i was at jfk a few hours ago good luck wflights,1,1,2,neutral,positive
well to the degree that he could just to know after this experience im cancelled flighting my miles card thank god for,0,0,2,negative,positive
i heard a rumor flight  was cancelled flightled  is this true,1,1,0,neutral,negative
dang i thought i was in a teleportation device ua,0,0,1,negative,neutral
that is certainly not the impression shes under,1,1,0,neutral,negative
airline trouble this winter amp not getting good customer service contact   we negotiate resolutions for you,1,1,0,neutral,negative
you dont need to cut services charge more and give a better flying experience thats why i use jet blue in the first place,2,2,0,positive,negative
that doesnt look to fat to me it looks yummy,2,2,0,positive,negative
i just hope that pilot had a good day off,1,1,2,neutral,positive
no thanks  took care of it when i called,2,2,0,positive,negative
a confirmed flight im so done thanks for nothing,0,0,2,negative,positive
save mile to visit family in  and this will impact how many times i can see my mother  i planned and you change the rules,2,2,0,positive,negative
what is going on with baggage claim in newarktiredandwanttogohome,0,0,1,negative,neutral
"thats weak see ya 
hey",0,0,1,negative,neutral
would you consider honoring the original fare price if i were to try flight booking problems the ticket again,0,0,1,negative,neutral
thats what i planned on but boston traffic due to recent weather was insane if i had been expedited i would have made it,1,1,0,neutral,negative
not yet but we will see shortly,0,0,1,negative,neutral
yep they moved me to a as they showed me flying standby,1,1,2,neutral,positive
im over that honestly just would like to get going on the journey,0,0,1,negative,neutral
good morning tamara well try to get you comfortably on a flight as soon as we cannoxtralegroom nocoatcloset,0,0,1,negative,neutral
the plane crew has been as professional and courteous as the gate agents were flustered,2,2,0,positive,negative
now its just tminus  minutes until my elevate a silver upgrade window opens  freeneversucks,2,2,0,positive,negative
im in line at the airport right now will you cover hotel fair or am i to sleep in the airport,0,0,1,negative,neutral
our fleets on fleek  plz stop,0,0,1,negative,neutral
no thank you  was responsive amp i found alternate travel home,0,0,1,negative,neutral
congrats you just got all my business from ewr to sfolax fuck you  fl sfoewr was the clincher,0,0,2,negative,positive
ready to go to disneyworld  for the  princesshalf,2,2,1,positive,neutral
we didnt need this rt  our fleets on fleek,0,0,1,negative,neutral
yup he said there would be flight change fee but the plane should be here in  minutes apparently,1,1,0,neutral,negative
when will you be issuing a weather advisory for rdu the entire state of nc has shut down from the overnight winter storm,1,1,0,neutral,negative
appreciate the early arrival of ua but any chance ord will ever bring the bags out,0,0,1,negative,neutral
not possible to carryon and put in a closetoverhead had success doing that with other airlines thanks,1,1,0,neutral,negative
your saving grace was our flight attendant dallas who was amazing wish he would transfer to delta where i would see him again,0,0,2,negative,positive
i believe that the website said i could receive credit for upcoming flights since i cancelled flighted my last one is this true,1,1,0,neutral,negative
will the kudos to capt herman be relayed to his chief pilot or should i be emailing someone,2,2,1,positive,neutral
employees spreading a bit of mardigras cheer at  this morning in atlanta  nftyconvention,1,1,2,neutral,positive
pls help me get this resolved amp reimbursement made  gracias rico pls send me private msg with phone number or email address,0,0,1,negative,neutral
mad love  nyc,1,1,2,neutral,positive
get me on flight  to denver and ill be more than happy,1,1,2,neutral,positive
both pictures taken at the same time but which is right totallyconfused,1,1,0,neutral,negative
lol im sorry im just seeing this now but lauren oh my god ahhhh,2,2,1,positive,neutral
thanks for the link now finally arrived in brussels  h after schedule,0,0,2,negative,positive
ever consider coming to memphis  need some trueblue service and fares badly,1,1,0,neutral,negative
is to airlines as   is to cableinternet,0,0,1,negative,neutral
refund,0,0,1,negative,neutral
even airlines are scheming to get a follow from obj lmaooo,1,1,0,neutral,negative
well i didntbut now i do d,2,2,1,positive,neutral
thank you for the acknowledgement the ife didnt work all that well anyway so maybe time to upgrade to lower profile system,0,0,2,negative,positive
well lucky i only fly jbi guess i would be even more squished on any other airline,2,2,0,positive,negative
already tried how about conf  via dm,0,0,1,negative,neutral
keep the flights cheap and earlyon time and you are good flew   and cancelled flightled my flight  times last month unitedgt,2,2,0,positive,negative
yes  with extra  i wonder what are you going yo loose if there is room,0,0,1,negative,neutral
splitting up my flights quadruples the price,0,0,1,negative,neutral
im getting info from the website but needing to check it and the alerts would be much more beneficial,1,1,0,neutral,negative
quick question  i bought wifi for my phone do i have to buy it again on my tablet i have  hours left on my trip,1,1,0,neutral,negative
flights to dfw cancelled flightled today,1,1,0,neutral,negative
it most certainly was not,0,0,1,negative,neutral
i forgot that intl flights out of lax dont go from intl terminal easiest recheck in ever woo,2,2,0,positive,negative
only  guest needs to change a flight on a reservation of  how can i do it i need this to happen say it canplease help,1,1,0,neutral,negative
hi booked a flight yesterday and received an email w confirmation number but today i got this error no active flight segments,1,1,0,neutral,negative
yes it says it should be deliver within  hours after pick up line,2,2,0,positive,negative
i just had an interview how long does it take before you hear back,1,1,0,neutral,negative
the only thing you fella have done right today is get me to the pacific time zone,2,2,0,positive,negative
they had record of it being at denver on the concourse prior to me gettin on the shuttle i just want to confirm its location,0,0,1,negative,neutral
our fleets on fleek  this is what i hate,0,0,1,negative,neutral
so important to accept others for who they are swadiversity,1,1,2,neutral,positive
absolutely,1,1,2,neutral,positive
i left my ipad on my flight  from erw to den i opened claim  it has so many memories on it plz help get it back,0,0,1,negative,neutral
never got to the strip that fast before stoked for special  show tonight thx again,2,2,0,positive,negative
ugh kicking myself for missing out on destinationdragons i need some  back in my life,1,1,0,neutral,negative
kudos and were done and heading to warmer weather,2,2,1,positive,neutral
maybe you should drive usairwaysfail,1,1,0,neutral,negative
can i get any kind of update on the delayed flight from boston to houston at  really need to be back home tonight,0,0,1,negative,neutral
i understand thanks,1,1,2,neutral,positive
ewr ppl told me to call  have xday since monday still at layover loc have that ref  tho any help appreciated,0,0,1,negative,neutral
why is raleigh not on the updated southern states advisory,0,0,1,negative,neutral
still havent been able to get through thanks for responding,1,1,0,neutral,negative
i just checked in online for tomorrows flight  thought i should get auto upgrade already got the email saying no seats,1,1,0,neutral,negative
power moves rt  our fleets on fleek,2,2,1,positive,neutral
also can you explain why when i checked in on the us airways site amp picked standby for st i was not put on the list,1,1,0,neutral,negative
sounds like a date,2,2,1,positive,neutral
betsy is the besty gettin stuck at las might not be bad for mostbut i want home homewardbound betsy besty thankyou,0,0,2,negative,positive
how do you expect to do that,0,0,1,negative,neutral
dear american when did  hour hold times become the industry standard  have you heard of additional staffing during weather,0,0,1,negative,neutral
is there nothing that can be done online to help i bought these as a birthday present just trying to be able to afford a change,1,1,0,neutral,negative
its vegas baby who doesnt have a good time in vegas lol,1,1,0,neutral,negative
thx make it right help meagan fouty brancato fl dfw gate  preboard wkids  b group a please please,2,2,1,positive,neutral
we appreciate the shoutout for roberto dm your confirmation code so we can forward your kind words sent,1,1,2,neutral,positive
what incentive do i have to give you another chance,0,0,1,negative,neutral
yes please,2,2,1,positive,neutral
thank you but it says the website is down,1,1,0,neutral,negative
that guy was the flight attendant on my last flight he was hilarious,2,2,0,positive,negative
thank you for opening the conversation  i hope you can make it right,1,1,2,neutral,positive
thanks  idk if it still late flight but i hope i get it tonight,2,2,1,positive,neutral
ticket issued whilst delivering your customers,0,0,1,negative,neutral
thank you for reaching out to me hopefully my request will be fixed and i can remain a loyal customer,0,0,2,negative,positive
just sent another  drink couponsi think i have over  coupons now free drinks anyone,2,2,0,positive,negative
done sorry i thought i was already,1,1,0,neutral,negative
token  goodwill voucher for passengers stuck on flight  from phoenix today  hour mark how about a  per passenger,0,0,1,negative,neutral
the os isnt controlled by me but rather    app is new,1,1,0,neutral,negative
are you expecting delayscancelled flightlations at dallas on th due to the snow nothing like monday i hope,1,1,0,neutral,negative
thx stand by   i know its frustrating and i do appreciate your patience while we try to get you on your way jh,1,1,0,neutral,negative
same here would appreciate a follow so i can dm my info to figure out what i am supposed to do,0,0,1,negative,neutral
walked from the gate to the just ask desk by gate,0,0,1,negative,neutral
lol thanks to you we had to switch to american,0,0,2,negative,positive
but question   if the downgrade include losing first class do you get money back,1,1,0,neutral,negative
ah ha i misread the end date as being  not  thanks for clarifying,2,2,0,positive,negative
thanks now i just need to locate where my luggage is,0,0,1,negative,neutral
jackpot  legroom,2,2,1,positive,neutral
keeping aa up in the air my crew chief cousin alex espinosa in dfw,1,1,2,neutral,positive
my flt is at a tom i have now recd notification that im going out from some other airport,0,0,1,negative,neutral
i have an issue that requires a bit more than a tweet to explain do yall have an email,1,1,0,neutral,negative
great operation you guys are running more mechanical issues and now taping piece of plane together lol,1,1,2,neutral,positive
no its weird i picked other cities just to test those workednot the one i want works on phone though so ill use that,1,1,0,neutral,negative
tried to dm you it wont let me as it says you are not following me,1,1,0,neutral,negative
is this how you want to treat your platinum and two gold flyers,0,0,1,negative,neutral
thanks bleh disconnected lets try this again,0,0,2,negative,positive
can you give me a  for us air in philly to talk to a real person acarlcom,0,0,1,negative,neutral
yes obviously it just stinks that pm is the one option when she was supposed to fly at am yesterday,1,1,0,neutral,negative
there are exitrow window shades in approx  of the windows  of your rjs lta frequent flyer,0,0,1,negative,neutral
sucks teco teco reclameaqui tripadvisor,0,0,1,negative,neutral
even  years after the earthquakehaiti still needs helps in rebuilding flyingitforward,1,1,0,neutral,negative
thanks got it straightend out last night,1,1,2,neutral,positive
finally about to take off thanks for the customer service by the g reps  c  ctl any idea what caused the system failure,0,0,2,negative,positive
we are off to kax premium  hoping this flight is better food tv now i know how to work it and service tnx,2,2,1,positive,neutral
the motor that usually starts the engine is broke and  ground crew failed to do it on time per pilot maintenance,1,1,0,neutral,negative
that would have been nice earlier  today too late flight now i hope,0,0,1,negative,neutral
yes i want to complain your coworker was neither is there a customer service point airside,1,1,0,neutral,negative
thanks i get that it looks like all bwisjd services stops after aug  is that the case i cant find one date with flights,1,1,0,neutral,negative
no did not catch his name i am sure jason will know,1,1,0,neutral,negative
once again on glassdoors best places to work snagging   overall notsurprising luvthem,1,1,2,neutral,positive
was that english ill dm though i dont think youll make a plane appear,0,0,1,negative,neutral
you do a great job of achieving that at most cities just not at bwi,0,0,2,negative,positive
look  has made the right call on cho please evaluate,0,0,1,negative,neutral
congratulations,1,1,2,neutral,positive
k thanks,1,1,2,neutral,positive
jt is the ord to phl flight at  pm cdt delayed dm im kinda hoping not to be stranded at ord either,1,1,0,neutral,negative
yes please,2,2,1,positive,neutral
hawaii get me somewhere warm amp i can find some good to do flyitforward,2,2,1,positive,neutral
please call us back to rebook  we need to get back to columbus please help,0,0,1,negative,neutral
if your policy changed you must advise at the time of purchase  same if you choose to vary it by airport  we want a full refund,0,0,1,negative,neutral
i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,0,0,1,negative,neutral
sister amp bil stuck in detroit desperately need to be in florida flying w  is there anything you can do,1,1,0,neutral,negative
when will you be accepting reservations past august,0,0,1,negative,neutral
take note of this great example of  actually making good for an extremely inconvenient situation,2,2,0,positive,negative
correct date is,0,0,1,negative,neutral
only way to fly elevate gold,2,2,1,positive,neutral
ah and i was only given one shuttle voucher so if i do ever get back to the airport youll be getting the bill,1,1,0,neutral,negative
gee thats like almost caring about ppl more than   think im more int in having a trusted adult w daughter,1,1,0,neutral,negative
we left ipad in a seat pocket  filed lost item report received it exactly  week late flightr  is that a record  unbelievable,2,2,0,positive,negative
would love to do more for virgin just like i do for,2,2,1,positive,neutral
would also like say kind move on adding the points,2,2,1,positive,neutral
my flight got cancelled flightled from grk to dfw then to lex for tomorrow and i need it rebooked,1,1,0,neutral,negative
winter weather for denver extended for tomorrow by chance even to late flightr in the day would be super helpful,1,1,2,neutral,positive
you take to me places  simply cantlike nonstop to st lucia,2,2,1,positive,neutral
when do you anticipate decisions for cancelled flightlations at dfw tomorrow morning need to rearrange hotel reservations etc asap,0,0,1,negative,neutral
nice rt  vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,1,1,2,neutral,positive
i was happy to purchase the upgrade if only it was avail on my next flight,2,2,1,positive,neutral
decisions decisions    wed love for you to try our service we offer status match too  kp,1,1,2,neutral,positive
i just booked a flight with you guys im reconsidering that decision now after reading this tweet,0,0,1,negative,neutral
let me assure you my travel time is hm not hm timezones accuratetraveltimes rdtimethishashappened,0,0,1,negative,neutral
nexus confirmed that at any crossing via air car or boat she can travel with only nexus,0,0,1,negative,neutral
this could be the beginning of a bluetiful relationship  lifeneedsfrosting,2,2,1,positive,neutral
when will there be wifi on the dcastl route   hour flight could use some love,0,0,1,negative,neutral
its only because im wearing truebluecolors,2,2,1,positive,neutral
can you make a premium wifi that i can pay  for that is decent slowfi,0,0,1,negative,neutral
watch out if you are a parentthey break stroller amp tell you look at the fine print,0,0,1,negative,neutral
i still like you united airlines,2,2,1,positive,neutral
i did not  thats why i am very concerned,1,1,0,neutral,negative
after boarding flight  the captain informs that he could exceed the hrs regulation and turned the plane around incredible,0,0,2,negative,positive
i lost a voucher that i was given in miami aeroport on jan  i did not use it,1,1,0,neutral,negative
this very pregnant ladys hoping amppraying hubbys flight from bwi gets off the ground id like him to get here before baby does,1,1,0,neutral,negative
thank you i may have already responded but was uxzj,1,1,2,neutral,positive
thanks finally made it missed meetings but what can i do now,0,0,1,negative,neutral
just landed in phl row  window cover on nsw could use some luv,0,0,1,negative,neutral
jh thanks so much for reaching out i was able to get assistance after waiting for  minutes,0,0,2,negative,positive
i got an email from cust care for an issue i had offering me a voucher how do i claim that i emailed back but got no reply dm me,1,1,0,neutral,negative
is flt  delayed,1,1,0,neutral,negative
you think you boarded flight au too early i think so,0,0,1,negative,neutral
monday evening,0,0,1,negative,neutral
please expedite missing bag claim  thanks,1,1,0,neutral,negative
i left something on a plane landing at midway last night because i am a responsible adult  got a number for me to call ty,1,1,0,neutral,negative
just so you know who to complain to  rt  reminder from  well be tweeting from,1,1,0,neutral,negative
my key point of confusion is whether i can make this change even though the initial flight booking problems was on us airways metal,1,1,0,neutral,negative
there is nothing on my usair cc at this point but the email stated i would be charged  thanks for the reply,1,1,0,neutral,negative
how much does a ski bag cost to check  bag contains  pair is skis and one pair of poles,1,1,0,neutral,negative
please come to indianapolis,2,2,1,positive,neutral
whats the hold up with flight  from slc to den,0,0,1,negative,neutral
hooking us up and getting us to tampa after our flight was cancelled flightled this morning grateful businesstrip,0,0,2,negative,positive
even with the multiplier the ticket price will still never equal the amount of miles you travel even for transatlantic flights,1,1,0,neutral,negative
finally through thx,2,2,1,positive,neutral
speaking of my flight skateboards are allowed as carry on bagage right no extra payment needed,1,1,0,neutral,negative
made the upgrade list will fly st tomorrow for  min for the first time ever  statusmatchpaidoff,2,2,1,positive,neutral
weather keeps slowing us down not your fault this is the st time a southwest flight of mine was late flight so i cant complain,2,2,0,positive,negative
i log in view reservations try view specific reservation amp takes me back to login page,0,0,1,negative,neutral
thanks i will use the extra time to do some more shopping did somebody say duty free,2,2,1,positive,neutral
mr shes on her way now but thought id detail the extravaganza for you dobetter please,0,0,1,negative,neutral
which onei have been booked on  different ones in the past  days,0,0,1,negative,neutral
dont know if u define that as a controllableirregularity,1,1,0,neutral,negative
maybe it is just a machine,1,1,0,neutral,negative
ok thanks,1,1,2,neutral,positive
weather delays gt next few weeks  jfk bos dca,1,1,0,neutral,negative
at least you got a response from  via twitter i went  for  yesterday,0,0,1,negative,neutral
yessir rt   good morning rob were showing the flight to sunny mexico just pushed off the gate,1,1,2,neutral,positive
okie doke knowing you you will fix this,2,2,1,positive,neutral
im in another country  please cancelled flight my reservation ive booked through swiss air,1,1,0,neutral,negative
res       fsqthg   thanks,1,1,2,neutral,positive
forgot to select my ksml on my flight to la and its a few minutes under the  hour mark is there any way to change it,1,1,0,neutral,negative
if there are empty first class seats on my flight at check in why wouldnt i be automatically upgraded,1,1,0,neutral,negative
flight was cancelled flightled can you guys help,0,0,1,negative,neutral
to boston,0,0,1,negative,neutral
thank you for contacting american the email address you have written to is an unmonitored account,1,1,0,neutral,negative
forget reservations thank you to the great leadership at your company ive cancelled flighted my flight once again thank you,0,0,2,negative,positive
i would go to dallas to see my grand baby that i miss so much i feel like a piece of my heart is there,1,1,2,neutral,positive
hi flight  if i try and book a new one way  flight departure shows up as pm which seems accurate,2,2,1,positive,neutral
you have a guy named otis at ord that knows what customerservice is he was able to get my bag to me i upgraded just to be sure,2,2,0,positive,negative
well thankfully theyve got a nice food court herewhen will an update be posted,2,2,1,positive,neutral
the whole plane flight  from lga to pbi,1,1,0,neutral,negative
this is exactly why ill be flying aa from  to dallas only airline i trust,2,2,1,positive,neutral
awaiting my return phone call just would prefer to use your online selfservice option,0,0,1,negative,neutral
hmmm it says im following you we just got deiced but still haning around for the runway to clear,0,0,1,negative,neutral
whats a girl gotta do to get a flight name change when she bought one for a mean ex boyfriend and needs a girls trip stat,1,1,0,neutral,negative
no snow in st louis cold but no snow hub flights welcome,1,1,0,neutral,negative
stop the madness  our fleets on fleek,0,0,1,negative,neutral
listening center is open seating just like on their planes ragandisney,2,2,1,positive,neutral
if my flight is going to be cancelled flightled every week i might as well be in business class,0,0,1,negative,neutral
i did not shes a woman whos a lead she was working at gate c,2,2,0,positive,negative
apparently not,0,0,1,negative,neutral
has getaway deals through may from  oneway lots of cool cities  cheapflights farecompare,2,2,1,positive,neutral
how long for a reply,0,0,1,negative,neutral
is flight  on its way was supposed to take off  minutes ago website still shows on time not in flight thanks,1,1,0,neutral,negative
hi guys are flights  and  still on time the site and app are both down and i cant check thanks,1,1,0,neutral,negative
destinationdragons id is my favorite band and i met my bestfriends thanks to them it would be life changing to see them,1,1,2,neutral,positive
got it so its just paying extra not to sit in the way back awesome never again,0,0,2,negative,positive
i did get the email thought i wasnt supposed to reply to those,1,1,0,neutral,negative
doesnt take into account the  it cost  rent a car  drive home,1,1,0,neutral,negative
thanks for forcing me to check in my carry  on luggage that is exactly why i spent extra money on travel size toiletries,2,2,0,positive,negative
you mean pm id be in vegas by now if id been allowed on my original flight,0,0,1,negative,neutral
thanks that means i have  minutes to make my international connection to hkg,1,1,2,neutral,positive
how do i get through,0,0,1,negative,neutral
can i get some help with a support ticket its been  days incident  thank you,0,0,1,negative,neutral
just to follow up here is my experience,0,0,1,negative,neutral
thanks   had a question about the wait time for baggage on ua,1,1,0,neutral,negative
who should i contact about a missing rapid rewards credit,1,1,0,neutral,negative
afterall indeed  lovesongfriday cheesy sweresomuchfun brandloveaffair,1,1,2,neutral,positive
i think ill come take a nap at the terminal,0,0,1,negative,neutral
will you please start offering services out of  and  to other airports have to drive  hrs to use u,0,0,1,negative,neutral
can you bring guinea pigs in small pet carrier onboard your flights,2,2,1,positive,neutral
first officer of ua  checking our  prior to departure from ewr yesterday while on his cell safety,1,1,0,neutral,negative
can someone please tell me who i have to talk to getittogether findurgrip,0,0,1,negative,neutral
well i did miss it but gate agents had rebooked boarding pass waiting when i landed time for lunch amp a beverage easy cheesy,2,2,0,positive,negative
am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next,2,2,1,positive,neutral
what weather sun is out,0,0,1,negative,neutral
yes i have,0,0,1,negative,neutral
you have to follow me in order for me to dmcome on now,0,0,1,negative,neutral
following my bad,1,1,0,neutral,negative
can you,0,0,1,negative,neutral
supposed to arrive at my destination tonight american rebooks me for wednesday where am i staying until then,0,0,1,negative,neutral
thanks for that advice so helpful cant believe you guys actually charge people to fly united,0,0,2,negative,positive
thank you please follow and i will send,1,1,2,neutral,positive
never received such horrible service or treated so poorly as richard p today no excuse for attitude amp ripping up our tickets,1,1,0,neutral,negative
call me when you do and well have to hook up,1,1,0,neutral,negative
i need youto be a better airline lol,0,0,1,negative,neutral
flights have been on time late flightly though,2,2,0,positive,negative
hours and still no bag could have flown to costa rica and back by now i had gifts for my family in my bags,1,1,0,neutral,negative
yes shows cancelled flightled amp asks for her to contact you at  number,0,0,1,negative,neutral
how we looking on getting those bags to lusaka,0,0,1,negative,neutral
i picked the nonstop flight bc i had things to get to shouldve taken diff route or airline i suppose,0,0,1,negative,neutral
chase says no referral bonus thanks,1,1,0,neutral,negative
great job communicating to the passengers flight  doesnt exist anymore,0,0,2,negative,positive
but have to return car to clt can i skip my flgjt back tonight from gso to clt and pick up at clt to fll i was told yes,0,0,1,negative,neutral
should but didnt,0,0,1,negative,neutral
customer of the year,1,1,2,neutral,positive
i already landed but if you still care it was  thanks for the help though do you k ow what caused the failure,1,1,0,neutral,negative
the internet is a great thing  i am emailing executives in your company maybe they will respond to me in a timely manner,0,0,2,negative,positive
flight was two days ago flight  from pos,0,0,1,negative,neutral
just played the most bizarre safety video ive ever seen,1,1,0,neutral,negative
redeemed themselves  flight out at  had to call and negotiate  but thank the lord im heading home,0,0,2,negative,positive
look out for flying rocks this time its a bird its a plane nah never mind its just a rock,2,2,1,positive,neutral
we share that value in common,2,2,1,positive,neutral
when will tomorrows flight cancelled flightlations at dfw for aa flights be posted we are on  at am from lax,0,0,1,negative,neutral
stop please rt  our fleets on fleek,2,2,1,positive,neutral
see what you started now  rt  our fleets on fleek,0,0,1,negative,neutral
we did  said to open one with you too,0,0,1,negative,neutral
hey friends stupid question  can i split payment methods for a flight purchase example  debit card  billmelate flightr thanks,1,1,0,neutral,negative
if you could change your name to  and do what they dothatd be awesome also this plane smells like onion rings,0,0,2,negative,positive
im looking every day just watching for a deal i have specific dates so fare finder doesnt help me,1,1,0,neutral,negative
can i get home before  or no,0,0,1,negative,neutral
no wheelchairs,0,0,1,negative,neutral
can i get tiks for destinationdragons omg id love to plz im dying,2,2,1,positive,neutral
when will airfare be available through december of this year i have  major trips coming up and im anxious to book them,0,0,1,negative,neutral
dmed you thank you,0,0,2,negative,positive
flt  out of mht have fun with my kids and grandkids  of them  jack says hi,1,1,2,neutral,positive
somehow between dfw and mia i got bumped from b all the way to g on  whats up with that,0,0,1,negative,neutral
congrats to these fans who are seeing destinationdragons in la slc youre next  thanks again sw,1,1,2,neutral,positive
do you expect to cancelled flight flights out of  tomorrow morning given the storm,0,0,1,negative,neutral
its a new day and a new chance for you to do the right thing its never too late flight to be honest,1,1,0,neutral,negative
i hope you like the photo,2,2,1,positive,neutral
saturday this morning man dies from ebola,1,1,0,neutral,negative
